1. 烧伤后引起气性坏疽的致病菌是
   A. 金黄色葡萄球菌
 ->B. 梭状芽胞杆菌
   C. 铜绿假单胞菌
   D. 链球菌
   E. 鲍曼不动杆菌

2. 在下列应用于肝脏外科的腹腔镜手术中，应严格掌握的指征是
   A. 肝囊肿开窗引流术
   B. 肝脓肿引流术
 ->C. 肝包虫内囊摘除术
   D. 肝癌冷冻治疗术
   E. 肝癌微波固化术

3. 原因不明的颈部淋巴结肿大，以下不必要的检查是
   A. X线胸片
   B. 甲状腺、鼻咽部、喉部检查
   C. 淋巴结活检
   D. 血常规、血沉
 ->E. 肿瘤标志物

4. 下列选项中，不符合急性胃扩张临床表现的是
   A. 腹胀、恶心、无食欲
   B. 呕吐深棕绿色浑浊液体或咖啡渣样液
   C. 腹部不对称膨胀，振水音阳性
 ->D. 肠鸣音亢进
   E. 可发生坏死或穿孔

5. 下列腹股沟疝修补术后复发的原因中，不正确的是
   A. 遗留内环太大
   B. 疝囊游离和切除不够，未做到高位结扎
   C. 腹横筋膜或腹横肌腱膜弓缝合失误
   D. 血肿形成或感染
 ->E. 髂腹下和髂腹股沟神经损伤

6. 有关继发性腹膜炎的手术适应证，下列不正确的是
   A. 经保守治疗后症状及体征无缓解，或进一步加重者
   B. 不排除腹内脏器坏死和穿孔者
   C. 感染严重，出现肠麻痹或中毒性休克者
   D. 全腹部压痛、反跳痛、肌紧张体征重，且无局限趋势者
 ->E. 辅助检查明确有腹内脏器损伤者

7. 下列选项中，不符合十二指肠损伤特点的是
   A. 汽车方向盘突然撞击上腹部的致伤占较大比例
   B. 引起严重急性弥漫性腹膜炎
   C. 临床诊断困难，误诊、漏诊率高
 ->D. 饱餐后损伤机会多
   E. 术后并发症多，死亡率高

8. 关于小肠肿瘤的临床特点，不正确的是
 ->A. 较胃肠道其他部位少见，良性肿瘤占大多数
   B. 可有腹痛、消化不良、出血和贫血、肠梗阻、腹内肿块表现
   C. 恶性肿瘤最常见的是恶性淋巴瘤
   D. 腺瘤和癌常见于十二指肠
   E. 全消化道X线钡餐检查有助诊断

9. 针对黑色素瘤的治疗，正确的是
   A. 良性肿瘤，不需要手术处理
   B. 中度恶性肿瘤、局部切除即可
 ->C. 高度恶性肿瘤，局部扩大切除
   D. 低度恶性肿瘤，局部物理治疗
   E. 介于低度恶性与中度恶性之间，以放疗和化疗为主
解析：目前治疗黑色素瘤的最好方法是外科手术切除，包括大块切除肿瘤和区域淋巴结清扫。在指端或足趾者应做截肢术。放射治疗不敏感，仅能作为晚期病例的姑息治疗。化学药物如噬替派、氮芥、环磷酞胺、羟基脲、长春新碱等对转移性黑色素瘤有一定疗效。近年来转移性黑色素瘤的治疗取得较大进展，出现了疗效较好的抗体和分子靶向药物，使患者生存期有所延长。故选C。

10. 浅Ⅱ度烧伤伤及皮肤的深度为
   A. 表皮层
   B. 表皮生发层
 ->C. 真皮乳头层
   D. 真皮网状层
   E. 以上都是

11. 经骶尾直肠肿瘤切除，最常采用的手术体位是
 ->A. 折刀位
   B. 膝胸位
   C. 左侧卧位
   D. 截石位
   E. 蹲位

12. 关于胆囊的解剖特点，下列不正确的是
   A. 分为底、体、颈三部分，囊状扩张的颈部称为胆囊壶腹（Hartmann袋）
   B. 呈梨形附着于肝脏面胆囊窝处，约8 cm×3 cm，容量约50 ml
   C. 胆囊管由胆囊颈延续而成，长约2～3 cm，直径约0.3 cm
 ->D. 胆囊管在肝总管前方与之汇合
   E. 胆囊管、肝总管与肝下缘构成胆囊三角 （Calot三角），内有胆囊动脉、肝右动脉、副右肝管穿过

13. 下列对烧伤后免疫功能失调的概述，错误的是
   A. 体内非特异性和特异性免疫机制受损，免疫系统平衡失调
   B. 炎性细胞的趋化、吞噬和杀菌能力减弱
   C. 血清补体下降
   D. 细胞免疫和体液免疫受抑制，特异性抗体形成能力受损
 ->E. 细胞免疫、体液免疫无影响，特异性抗体形成受抑制

14. 以下胆道出血的手术治疗方式中，错误的是
   A. 胆囊切除，适于胆囊出血者
   B. 胆总管引流术，用于结石、感染所致胆道出血者，术后经T管灌注药物
   C. 肝固有动脉或病侧肝动脉结扎，适合肝内胆管出血、肝动脉有多处出血难定位者
   D. 肝部分切除，用于病变局限于一叶（段）或一侧者，或肝动脉结扎后仍出血者
 ->E. 出血量大，难定位者，采取肝右叶或肝左叶切除止血

15. 表皮层由深到浅依次可分为
 ->A. 基底细胞层、棘细胞层、颗粒层、透明层、角质层
   B. 基底细胞层、棘细胞层、角质层、透明层、颗粒层
   C. 透明层、基底细胞层、棘细胞层、角质层、颗粒层
   D. 基底细胞层、棘细胞层、颗粒层、角质层、透明层
   E. 基底细胞层、颗粒层、角质层、透明层、棘细胞层

16. 关于腹腔诊断性穿刺的注意事项及临床意义，下列选项错误的是
   A. 可根据情况选择在左下腹或右下腹穿刺
   B. 抽出暗红色不凝固血或混浊液体说明有脏器损伤或病变
   C. 对腹胀明显者易穿破肠壁，应慎重
   D. 抽出的血液迅速凝固说明穿入血管或血肿
 ->E. 穿刺阴性可排除内脏损伤或病变
解析：少数情况可因穿刺针被大网膜堵塞或腹内液体未引流至穿刺部位等情况导致穿刺阴性，应该继续观察，必要时可变换部位或间隔一段时间后重复穿刺，或行腹腔灌洗术。

17. 深Ⅱ度与Ⅲ度烧伤发生“自溶脱痂”的时间一般为伤后
   A. 1～2周
   B. 2～3周
 ->C. 3～4周
   D. 4～5周
   E. 5～6周

18. 关于肝脏的血供，下列选项不正确的是
   A. 正常肝血流量每分钟为1500 ml，占心排血量的20%～40%
   B. 肝是全身唯一双重血流供应的器官
   C. 全肝60%～80%的血供来自门静脉
   D. 20%～40%来自肝动脉
 ->E. 门静脉血流增加，肝动脉血流也相应 增加

19. 下列急性肠系膜上动脉栓塞的治疗措施，错误的是
   A. 给予右旋糖酐和肝素治疗
   B. 肠系膜上动脉栓子取出术
