1. 女性，60岁。腹痛、呕吐及肛门停止排气排便3天。查体：腹胀可见肠型，全腹有压痛。腹部X线片：肠管扩大，可见多个液平面。应选何种治疗
   A. 胃肠减压
   B. 抗生素治疗
   C. 积极进行中药治疗
   D. 择期手术
 ->E. 急诊剖腹探查

2. 男性，28岁。1周前感冒，3天后咯血伴浮肿、尿少（300～400 ml/24h）。血压150/100 mmHg。血红蛋白118 g/L，血沉90 mm/1h末。尿蛋白（+++），沉渣红细胞40～60/HP。血肌酐580 μmol/L，血尿素氮20 mmol/L。B超示双肾大。肾活检证实为急进性肾炎Ⅰ型。其发病机理为
   A. 免疫复合物型
   B. 原位免疫复合物型
   C. 循环免疫复合物型
 ->D. 抗肾小球基底膜抗体型
   E. 非体液免疫介导型

3. 男性，34岁。左腰部绞痛1天。尿常规：红细胞（+++）。B超检查：左肾积水。肾积水的原因最可能的是
   A. 左肾结核
 ->B. 左输尿管结石
   C. 左肾肿瘤
   D. 肾盂输尿管连接部狭窄
   E. 左输尿管肿瘤

4. 男性，64岁。患冠心病多年，3小时前突然出现双下肢剧烈疼痛，行走困难，局部皮肤苍白，查双下肢股动脉搏动消失，双股以下皮温低，肌力4级。诊断为
   A. 动脉硬化性动脉闭塞症
 ->B. 髂股动脉栓塞
   C. 血栓闭塞性脉管炎
   D. 糖尿病性动脉闭塞
   E. 大动脉炎

5. 女性，32岁。严重烧伤需要输注血浆，当地不能及时查血型，可首选的血浆是
   A. AB型血浆
 ->B. O型血浆
   C. A型血浆
   D. B型血浆
   E. A和B混合血浆

6. 男性，20岁。枕部外伤后频繁呕吐，颈项强直2小时。在做头颅CT检查时突然呼吸停止，昏迷，双瞳等大。根据患者情况，最可能发生的是
   A. 创伤性休克
   B. 原发性脑干损伤
   C. 小脑幕切迹疝
   D. 重型脑挫伤
 ->E. 枕骨大孔疝

7. 患者，男性，28岁。骑自行车与人对撞，会阴骑跨车梁上，疼痛3小时后发现内裤上有鲜血，不能排尿，会阴部血肿如乒乓球大。血压、脉搏正常。尿道造影为完全性尿道球部断裂。此时入院的最佳处理是
   A. 试行留置导尿，持续引流
   B. 耻骨上膀胱穿刺引流尿液
   C. 经会阴尿道对端吻合术
 ->D. 耻骨上膀胱造瘘术
   E. 尿道拖入术加血肿引流

8. 男性，45岁，酗酒后8小时出现中上腹疼痛，放射至两侧腰部，伴恶心、呕吐。体检腹部有压痛、肌紧张及两侧腰腹部出现蓝棕色斑，血压75/55 mmHg，脉搏110次/分。最可能的诊断是
   A. 急性胆囊炎
   B. 急性胃炎
   C. 急性肠梗阻
 ->D. 急性胰腺炎
   E. 急性胆管炎

9. 男性，27岁。肾移植术后3个月，近日出现低热、呼吸困难，无明显咳嗽症状。X线胸片：双肺间质性肺炎。血常规：WBC3.5×10<sup>9</sup>/L，RBC3.35×10<sup>9</sup>/L，Hb90/L，血清肌酐125 μmol/L，痰细菌培养（-），血清CMV-Ag阳性。首先要考虑的肾移植并发症为
   A. 细菌性肺炎
   B. 真菌性肺炎
 ->C. 巨细胞病毒性肺炎
   D. 肺结核
   E. 卡氏肺孢子菌肺炎

10. 表皮后创面微湿、发白，水肿明显，创面感觉迟钝。正确的诊断应为
 ->A. 烧伤面积9%，深Ⅱ度
   B. 烧伤面积4.5%，浅Ⅱ度
   C. 烧伤面积6%，Ⅱ度烧伤
   D. 烧伤面积9%，介于Ⅰ、Ⅱ度烧伤之间
   E. 烧伤面积10%，浅Ⅱ度

11. 男性，53岁。慢性肝病15年，呕血300 ml，查体，巩膜轻度黄染，腹软无压痛，肝肋下未扪及，移动性浊音阳性，最可能的诊断是
   A. 胆道出血
   B. 十二指肠溃疡出血
   C. 胃癌出血
 ->D. 食管静脉曲张破裂出血
   E. 胃息肉出血

12. 男性，52岁，瓦斯爆炸伤后12小时入院。查体：P142次/分，R36次/分，BP94/48 mmHg。创面疼痛、呼吸深快，烦躁，谵妄。双肺未闻及啰音，动脉血气检查结果：动脉血pH7.20，[HCO<sub>3</sub><sup>-</sup>]17 mmol/L，PaO<sub>2</sub>60 mmHg，PaCO<sub>2</sub>28 mmHg。临床诊断为瓦斯烧伤90%，深Ⅱ度。目前患者呼吸功能不全最可能的原因为
 ->A. ARDS
   B. 头颈部烧伤创面肿胀导致气道梗阻
   C. 吸入性损伤
   D. 吸入过多CO<sub>2</sub>
   E. 胸部焦痂限制呼吸运动

13. 女性，38岁。十二指肠溃疡病史16年，经多次内科治疗，久治不愈，拟行手术治疗，该患者不宜选择的手术方式是
   A. 高选择性迷走神经切断术
   B. 选择性迷走神经切断术
   C. 迷走神经干切断术
 ->D. 毕Ⅰ式胃大部切除术
   E. 毕Ⅱ式胃大部切除术

14. 男性，不慎从二楼坠落致骨盆骨折及左股骨下段开放性骨折，伤口大量出血，现场急救首先应
   A. 输液
 ->B. 止血
   C. 骨折复位
   D. 骨折临时固定
   E. 止痛

15. 患者女，45岁。临床诊断胆囊结石并发胆总管结石，拟行腹腔镜胆囊切除+腹腔镜胆总管切开探查术。评估腹腔镜胆总管切开探查术的可行性时，不需要考虑的是
 ->A. 胆囊管粗细
   B. 胆总管内径
   C. 胆总管结石数目
   D. 胆总管结石有无嵌顿
   E. 有无合并肝内胆管结石

16. 患者男，50岁。右下肢静脉曲张10年。劳动后肢体肿胀，小腿下1/3皮炎及溃疡经久不愈1年。目前治疗最好采取
   A. 局部换药
   B. 抗感染治疗
 ->C. 积极治疗溃疡，愈合后手术治疗
   D. 弹性绷带包扎治疗
   E. 免除体力劳动

17. 男性射精障碍，下列哪一项不正确
   A. 早泄
   B. 不射精
   C. 逆行射精
 ->D. 性冷淡、性欲亢进
   E. 以上都是

18. 患者男，34岁。因甲状腺Ⅱ度肿大行手术治疗。术中冷冻病理报告为：慢性淋巴细胞性甲状腺炎。此时，应给予的处理是
   A. 行双侧甲状腺次全切除术
   B. 行双侧甲状腺部分切除术
   C. 停止手术，缝合伤口
 ->D. 停止手术，缝合伤口，术后给予甲状腺素药物治疗
   E. 停止手术，缝合伤口，术后给予抗甲状腺药物治疗

19. 患者，男性，76岁。排尿困难12年，近1年常出现排尿中断现象，伴疼痛窜及阴茎头部，平卧后疼痛减轻，并能够恢复排尿。可能的诊断是
   A. 前列腺增生症
