1. 患者，张某，女，32岁，因发现同房后出血3月就诊，行TCT检查示：LSIL，此患者进一步应行何种检查以确诊
   A. 阴道镜检查
   B. 诊断性刮宫
 ->C. 宫颈活织检查
   D. 高危型HPV检测
   E. 宫颈锥切术

2. 孕妇36周妊娠，自述于翻身、行走时经常出现腹部发紧，无痛感，阴道检查宫口未开，宫颈管未消失，此时最恰当的诊断为
   A. 先兆流产
   B. 早产临产
   C. 先兆早产
   D. 先兆临产
 ->E. 生理性宫缩
解析：生理性宫缩不规则、无痛感、不伴宫颈管消失。

3. 女性，20岁。发现腹胀、食欲下降2个月。检查发现：腹膨隆，肛查子宫正常大，右下腹包块如婴儿头颅大，活动。剖腹探查：腹水淡黄，清，2000ml，子宫正常大小，双输卵管，左卵巢，大网膜，阑尾外观未见异常，右卵巢包块直径10cm，表面呈结节状，切面似脑组织，质脆，冷冻切片示：右卵巢未成熟性畸胎瘤，手术范围最佳应为
   A. 右卵巢切除术
   B. 右附件切除+子宫全切术
   C. 双附件切除+子宫切除术
   D. 双附件切除+子宫切除+大网膜切除
 ->E. 双附件+子宫+大网腹+阑尾切除

4. 患者女，33岁，G<sub>2</sub>P<sub>1</sub>。因阴道大量流血，呈休克状态急入院。妇科检查：阴道内有胚胎样组织，宫体6周妊娠大小，两侧附件（-）。首先应补充的病史是
   A. 有无早孕反应
 ->B. 有无停经史
   C. 有无性生活及腹痛史
   D. 有无外伤史
   E. 生育史

5. 女性，18岁，既往超重，月经规律，读大学后节食，体重骤降25%，出现闭经属于哪种类型
 ->A. 下丘脑性闭经
   B. 垂体性闭经
   C. 子宫性闭经
   D. 卵巢性闭经
   E. 原发性闭经

6. 女性，50岁，子宫脱垂Ⅲ度伴阴道前后壁膨出，无手术禁忌，无生育要求。最佳的治疗方案是
 ->A. 经阴子宫切除+阴道前后壁修补术
   B. 盆底肌肉锻炼和物理治疗
   C. 曼氏手术+聚丙烯网片全盆修补悬吊
   D. 聚丙烯网片前盆悬吊
   E. 聚丙烯网片后盆悬吊

7. 32岁初产妇，孕38周临产，臀位，胎儿估计体重4000 g，骨盆测量为：髂棘间径24 cm，髂嵴间径27 cm，骶耻外径18.5 cm出后横径7.5 cm。分娩的处理应为
   A. 催产素加强宫缩
   B. 臀助产术
   C. 人工破膜
 ->D. 剖宫产术
   E. 充分试产

8. 女性，30岁，人工流产术后8个月。术后不断有阴道流血，量不多。阴茎套避孕。现尿妊娠试验阳性，胸部X线摄片见两肺中下叶散在浅淡半透明圆形阴影及棉花团影。本例最可能的诊断为
 ->A. 绒毛膜癌
   B. 先兆流产
   C. 葡萄胎
   D. 侵蚀性葡萄胎
   E. 吸宫不全

9. 初产妇，25岁，妊娠39周，宫口已开全，胎位LOA，先露位置在坐骨棘下3 cm，胎心率100次/分，羊水呈草绿色，黏稠。应如何处理
 ->A. 产钳术或胎头吸引术
   B. 剖宫产
   C. 等待自然分娩
   D. 加腹压
   E. 静点缩宫素
解析：急性胎儿窘迫时若宫口开全，胎先露已达坐骨棘平面以下3 cm者，吸氧同时尽快助产经阴道娩出胎儿。

10. 女性，26岁，孕前咨询，三年前患有尖锐湿疣，治愈，随访一年后未见复发，下列叙述不正确的是
   A. 此患者可怀孕
 ->B. 此患者妊娠后应行剖宫产分娩
   C. 此患者妊娠后可以经阴道分娩
   D. 此患者应检查有无合并其他性传播疾病
   E. 此患者仍有传染胎儿的可能性
