1. 失血性休克的“5P”临床表现不正确的是
   A. 皮肤苍白pallor
   B. 冷汗perspiration
   C. 虚脱prostration
   D. 脉搏细弱pulselessness
 ->E. 瘫痪paralysis

2. 革兰阴性菌细胞壁的特点是
   A. 较坚韧
   B. 肽聚糖含量多
   C. 有磷壁酸
   D. 无外膜
 ->E. 有脂多糖

3. 血液净化治疗采用普通肝素全身抗凝时，APTT维持在正常值
   A. 0.5～1倍
   B. 1～1.5倍
 ->C. 1.5～2.5倍
   D. 2.0～3.0倍
   E. 2.5～3.5倍

4. 机械通气对心血管系统的影响哪项描述错误
   A. 使胸腔内压升高，减少静脉回心血量，导致心排血量降低，血压降低
   B. 增加肺血管阻力，肺动脉压升高影响右心室功能
   C. 左心室充盈增加，左心室舒张末压增高，损害左心室功能
   D. 发生多种心律失常，以室性和房性期前收缩多见
 ->E. 静脉回流减少，肾脏血流灌注减少

5. ALl/ARDS血气分析典型的改变为
   A. PaO<sub>2</sub>升高，pH升高
   B. PaO<sub>2</sub>降低，pH降低
 ->C. PaO<sub>2</sub>降低，pH升高
   D. PaO<sub>2</sub>升高，pH降低
   E. 以上均不对

6. 引起亚急性细菌性心内膜炎的主要致病菌是
   A. 肺炎链球菌
   B. 金黄色葡萄球菌
   C. 腐生葡萄球菌
 ->D. 甲型溶血性链球菌
   E. 乙型溶血性链球菌

7. 以下哪项不是重症医院内获得性肺炎的危险因素
   A. 外科手术
   B. 鼻饲病人误吸
   C. 鼻窦炎
   D. 预防性使用抗生素
 ->E. 为预防应激性溃疡使用胃黏膜保护剂

8. 急性左心衰竭应选用下列哪一种利尿剂
   A. 氢氯噻嗪
   B. 螺内酯
 ->C. 呋塞米
   D. 阿米诺利
   E. 氨苯蝶啶

9. 急性中毒最佳洗胃时间是
 ->A. 6小时内
   B. 8小时内
   C. 12小时内
   D. 24小时内
   E. 48小时

10. 胃排空不良的患者，经鼻胃管使用肠内营养制剂，最可能的并发症是
   A. 腹泻
   B. 便秘
 ->C. 误吸
   D. 肠坏死
   E. 低血糖

11. 下列哪种情况不导致呼吸功增加
   A. 胸肺顺应性下降
   B. 气道阻力增加
   C. 气道分泌物增多
 ->D. 气管切开
   E. 呼吸机回路积水

12. 关于ESBLs的叙述，错误的是
   A. 由质粒介导
   B. 大部分革兰阴性杆菌均可产生
 ->C. 不被酶抵制剂抑制
   D. 应报告青霉素类和头孢类抗生素耐药
   E. 对碳青霉烯和头霉烯类抗生素敏感

13. 危重病人进行营养支持时首先考虑的途径是
   A. 中心静脉营养
   B. 肠外营养与肠内营养相结合
   C. 周围静脉营养
 ->D. 肠内营养
   E. 肠外营养

14. 肝功能障碍时代谢障碍表现为
   A. 低糖血症
   B. 低蛋白血症
   C. 低钾血症
   D. 低钠血症
 ->E. 以上都有

15. 一例休克患者，监测中心静脉压和动脉压均低于正常，休克的原因最可能是
   A. 心功能不全
 ->B. 血容量不足
   C. 输液过量
   D. 肺栓塞
   E. 血容量相对过多

16. 某支气管扩张合并妊娠患者大咯血，下列哪种药物禁用
   A. 酚磺乙胺
   B. 巴曲酶（立止血）
   C. 抗血纤溶芳酸
   D. 卡巴克洛
 ->E. 垂体后叶素

17. O<sub>2</sub>和CO<sub>2</sub>进出细胞膜通过
 ->A. 单纯扩散
   B. 主动转运
   C. 易化扩散
   D. 继发性主动转运
   E. 出、入胞作用

18. COPD急性加重期间需要使用的主要药物，除外的是
   A. 抗生素
   B. 糖皮质激素
   C. 支气管扩张药
 ->D. 镇静药
   E. 止咳、祛痰药

19. 下列哪类属于癫痫持续状态
   A. 全面强直阵挛性发作频繁发生，持续24小时
   B. 连续的失神发作
   C. 局部抽搐持续数小时
   D. 发作自一处开始，按大脑皮质运动区逐渐扩展
 ->E. 全面强直阵挛性发作频繁发生，伴意识持续不清

20. 对附睾正确的描述是
   A. 为男性生殖腺
 ->B. 由附睾管构成
   C. 贴附于睾丸前缘
   D. 下连输尿管
   E. 产生精子

21. 连枷胸治疗的主要原则是
 ->A. 保持呼吸道通畅，尽快消除反常呼吸运动，纠正呼吸与循环功能紊乱
   B. 呼吸机辅助呼吸
   C. 手术治疗
   D. 胸带固定
   E. 抗生素治疗

22. 医德荣誉感
   A. 属于医德荣誉的客观评价
   B. 是社会对医德行为的褒奖
   C. 是对医务人员履行医德义务的社会赞许
 ->D. 反映医务人员对医德行为社会价值的自我感受
   E. 自我价值的体现

23. 腐生葡萄球菌是下列哪种疾病的常见致病菌
   A. 亚急性细菌性心内膜炎
