1. 患者15岁，男性，自幼肌肉僵硬，张力高，随意运动出现局部强直，肌僵硬更明显，易疲劳无力，检查受累肌肉肥大，硬韧，机械刺激后产生持续性肌肉收缩，出现肌丘或局部肌肉凹陷。EMG检查呈强制性放电。超声检查见受累肌肉肥厚，肌束回声粗大，受刺激后肌肉强直收缩时更明显，肌腹呈条索样隆起，回声减低，其他肌肉无异常。最可能的诊断为
   A. 骨筋膜室综合征
   B. 进行性肌营养不良
   C. 增生性筋膜炎
 ->D. 先天性肌强直
   E. 以上都不是

2. 患者，男，24岁，超声检查示先天性主动脉瓣二叶瓣，主动脉瓣口舒张期可见中度反流血流信号，该患者经主动脉瓣M型超声检查可见
   A. 主动脉瓣M型曲线呈六边盒样
   B. 主动脉瓣瓣叶关闭线偏心
 ->C. 主动脉瓣关闭曲线可见缝隙
   D. B+C
   E. A+B

3. 患者，女性，19岁，月经稀少，多毛，肥胖。超声检查：子宫正常大小，双侧卵巢增大，其内可见多个无回声。血LH/FSH>3.0，诊断可能为
 ->A. 多囊卵巢
   B. 卵巢肿瘤
   C. 垂体瘤
   D. 子宫畸形
   E. 子宫内膜炎

4. 患者女性，30岁。因右上腹疼痛，食欲下降就诊。超声所见：肝大，肝实质回声尚均匀，门静脉分支管壁回声增强，过度显示，胆囊壁增厚呈双层结构，胆囊充盈不佳，胆囊内有沉积性回声点，最可能的诊断为
 ->A. 急性肝炎
   B. 胆囊炎
   C. 慢性肝炎
   D. 急性胆管炎
   E. 急性肝坏死
解析：此患者具有急性肝炎典型的超声表现，肝大，胆囊征象及肝内血管变化门静脉及其分支显示增多，管壁回声增强，可呈小双管状或小等号状。

5. 女性，45岁。体检时于心尖区听诊，可闻及第一心音亢进及舒张期附加音，超声检查显示左房内可探及一椭圆形略高回声团，舒张期摆向二尖瓣口，收缩期回到左心房，并于二尖瓣口可录及到舒张期的射流频谱，流速2.1 m/s。可能的诊断为
   A. 二尖瓣狭窄
   B. 二尖瓣关闭不全
   C. 左房血栓
 ->D. 左房黏液瘤
   E. 二尖瓣脱垂
解析：根据左房内略高回声团，随心动周期往返于二尖瓣口与左心房之间，可初步诊断为左房黏液瘤，黏液瘤造成二尖瓣口机械性狭窄，故于瓣口可录及舒张期高速射流。

6. 患者女，29岁，足月产后1年，阴道不规则流血伴腹痛2个月，血HCG滴度为21×10<sup>4</sup>U/L。超声检查如图所示<img src="https://exam.mvwchina.com/upload/2016/12/4c06256c87154e04aa5b7f8797ba4aaf.jpg "/>，最可能的诊断是
   A. 妊娠组织残留物
   B. 胎盘部位滋养细胞疾病
 ->C. 绒毛膜癌
   D. 局灶性子宫腺肌症
   E. 局部肌层血管畸形

7. 患者女性，60岁，多饮、多尿、消瘦9年，畏寒发热4天入院，经检查确诊为糖尿病。行超声检查，超声可见肝右叶增大，肝右前叶可见64 mm×85 mm形态不规则混合回声区，内部为多发不规则液性暗区，囊液透声不好，后方回声增强，最可能的诊断是
 ->A. 肝脓肿
   B. 肝棘球蚴病
   C. 肝转移癌
   D. 肝囊腺瘤
   E. 肝囊肿合并感染

8. 患者，男性，55岁，最近行主动脉瓣置换术，术后超声检查主动脉瓣峰值流速是2.5 m/s，请从下列选择正确的描述
   A. 异常增高流速提示瓣膜不匹配
   B. 流速高提示人工瓣狭窄
 ->C. 基本是合适的型号和大小
   D. 流速低提示病人的心排血量减少
   E. 以上都不正确

9. 患者，女性，42岁，间断无痛性血尿2年，声像图示右肾中下部4.6 cm×5.3 cm中等偏低回声肿块，边界清楚，内部回声欠均匀，肿块向。肾表面隆起，并推挤肾窦，右肾静脉内实性回声充填，考虑诊断是
   A. 肾血管平滑肌脂肪瘤
   B. 肾母细胞瘤
 ->C. 肾细胞癌
   D. 肾盂癌
   E. 肾腺瘤

10. 心包积液患者，超声见暗区内有细丝状、水草状回声漂浮于积液之中或附着于心包壁上，可能为
   A. 原发性或转移性心包肿瘤
   B. 低蛋白血症
 ->C. 结核性心包炎
   D. 心包积血
   E. 非特异性心包炎
