1. 肾细胞癌的典型声像图特征是
 ->A. 肾内圆形、椭圆形占位性病灶，常向肾表面隆起，可伴有肾窦受压表现
 ->B. 肾癌小：边界尚清；肾癌大：边界欠清，形态不规则，周边有低回声晕-假包膜声像
 ->C. 内部回声呈多样性；瘤体小，较强回声。瘤体较大，中低回声。内部坏死、液化，出血出现混合性回声
 ->D. 肾静脉、下腔静脉、肝、对侧肾及腹膜后淋巴结转移征象
   E. 肾内肿瘤生长很大，形态不规则，边缘整齐的实性肿块

2. 男性乳腺癌的特点包括
 ->A. 乳晕下无痛性肿块、质硬
 ->B. 乳头回缩，皮肤凹陷
 ->C. 超声早期可见腺体层增厚，结构不清，似男性乳腺发育症
 ->D. 进一步发展可出现不规则低回声区，与女性乳腺癌相似
   E. 预后比女性好

3. 下列对三尖瓣血流正常多普勒频谱的叙述哪些是正确的
 ->A. E峰大于A峰
 ->B. 正常频谱
 ->C. 舒张早期、舒张末期分别有一脉冲波
 ->D. 在舒张期出现
   E. A峰大于E峰

4. 患者，女60岁，临床诊断Buerger病，其表现是
 ->A. 是发生在四肢膝、肘关节远端，中小型动脉节段性的全层炎症性疾病
   B. 其伴行动脉也常伴有炎症和血栓形成
 ->C. 其超声表现，在二维图像上显示病变动脉内膜增厚、毛糙
 ->D. 病变部位与正常部分界限分明
 ->E. 彩色及脉冲多普勒显示节段性动脉狭窄、闭塞及伴行静脉炎症、血栓同时存在的血流色彩和频谱的相关改变

5. 子宫体癌的病理学改变及诊断，正确的是
   A. 声像图能显示内膜增厚，故早期即能确诊
 ->B. 子宫内膜为弥漫性增厚或团块状
 ->C. 始发于更年期与绝经期的妇女
 ->D. 又称子宫内膜瘤，发生在子宫内膜
 ->E. 主要临床表现为阴道出血

6. 下列哪些疾病可以出现胆囊壁增厚
 ->A. 低蛋白血症
 ->B. 胆囊炎（急或慢性）
 ->C. 腺肌症
 ->D. 胆囊癌
 ->E. 胆囊萎缩

7. CDFI检测输尿管膀胱开口处结石的特点
 ->A. 输尿管膀胱开口喷尿频率减少
 ->B. 输尿管膀胱开口喷尿尿流变短
